"Nom_de_la_commune","#Code_commune_INSEE","Code_postal","Ligne_5"
"ECHENEVEX","01153","01170",
"EVOSGES","01155","01230",
"FARAMANS","01156","01800",
"FAREINS","01157","01480",
"FARGES","01158","01550",
"FEILLENS","01159","01570",
"FERNEY VOLTAIRE","01160","01210",
"FLAXIEU","01162","01350",
"FOISSIAT","01163","01340",
"FRANCHELEINS","01165","01090",
"FRANCHELEINS","01165","01090","AMAREINS"
"FRANCHELEINS","01165","01090","CESSEINS"
"FRANS","01166","01480",
"GARNERANS","01167","01140",
"GENOUILLEUX","01169","01090",
"BEARD GEOVREISSIAT","01170","01460",
"GEOVREISSET","01171","01100",
"GEX","01173","01170",
"GIRON","01174","01130",
"GORREVOD","01175","01190",
"GRAND CORENT","01177","01250",
"GRIEGES","01179","01290",
"GRILLY","01180","01220",
"GROISSIAT","01181","01100",
"GUEREINS","01183","01090",
"HAUTECOURT ROMANECHE","01184","01250",
"HAUTECOURT ROMANECHE","01184","01250","ROMANECHE"
"PLATEAU D HAUTEVILLE","01185","01110","CORMARANCHE EN BUGEY"
"PLATEAU D HAUTEVILLE","01185","01110","HAUTEVILLE LOMPNES"
"PLATEAU D HAUTEVILLE","01185","01110","HOSTIAZ"
"PLATEAU D HAUTEVILLE","01185","01110","THEZILLIEU"
"HAUT VALROMEY","01187","01260","HOTONNES"
"HAUT VALROMEY","01187","01260","LE GRAND ABERGEMENT"
"HAUT VALROMEY","01187","01260","LE PETIT ABERGEMENT"
"HAUT VALROMEY","01187","01260","RUFFIEU"
"HAUT VALROMEY","01187","01260","SONGIEU"
"ILLIAT","01188","01140",
"INJOUX GENISSIAT","01189","01200",
"INJOUX GENISSIAT","01189","01200","CRAZ"
"INNIMOND","01190","01680",
"IZENAVE","01191","01430",
"IZERNORE","01192","01580",
"IZIEU","01193","01300",
"JASSANS RIOTTIER","01194","01480",
"JASSERON","01195","01250",
"JAYAT","01196","01340",
"JOURNANS","01197","01250",
"JOYEUX","01198","01800",
"JUJURIEUX","01199","01640",
"LABALME","01200","01450",
"LAGNIEU","01202","01150",
"LAIZ","01203","01290",
"LE POIZAT LALLEYRIAT","01204","01130","LALLEYRIAT"
"LE POIZAT LALLEYRIAT","01204","01130","LE POIZAT"
"LANTENAY","01206","01430",
"LAPEYROUSE","01207","01330",
"LAVOURS","01208","01350",
"LEAZ","01209","01200",
"LELEX","01210","01410",
"LENT","01211","01240",
"LESCHEROUX","01212","01560",
"LEYMENT","01213","01150",
"LEYSSARD","01214","01450",
"SURJOUX LHOPITAL","01215","01420","LHOPITAL"
"SURJOUX LHOPITAL","01215","01420","SURJOUX"
"LHUIS","01216","01680",
"LOMPNAS","01219","01680",
"LOYETTES","01224","01360",
"LURCY","01225","01090",
"MAGNIEU","01227","01300",
"MAGNIEU","01227","01300","ST CHAMP"
"MAILLAT","01228","01430",
"MALAFRETAZ","01229","01340",
"MANTENAY MONTLIN","01230","01560",
"MANZIAT","01231","01570",
"MARBOZ","01232","01851",
"MARCHAMP","01233","01680",
"MARIGNIEU","01234","01300",
"MARLIEUX","01235","01240",
"MARSONNAS","01236","01340",
"MARTIGNAT","01237","01100",
"MASSIEUX","01238","01600",
"MASSIGNIEU DE RIVES","01239","01300",
"MATAFELON GRANGES","01240","01580",
"MATAFELON GRANGES","01240","01580","GRANGES"
"MEILLONNAS","01241","01370",
"MERIGNAT","01242","01450",
"MESSIMY SUR SAONE","01243","01480",
"MEXIMIEUX","01244","01800",
"BOHAS MEYRIAT RIGNAT","01245","01250",
"BOHAS MEYRIAT RIGNAT","01245","01250","BOHAS"
"BOHAS MEYRIAT RIGNAT","01245","01250","RIGNAT"
"MEZERIAT","01246","01660",
"MIJOUX","01247","01170",
"MIJOUX","01247","01410",
"MIONNAY","01248","01390",
"MIRIBEL","01249","01700",
"MIRIBEL","01249","01700","LE MAS RILLIER"
"MIRIBEL","01249","01700","LES ECHETS"
"MISERIEUX","01250","01600",
"MOGNENEINS","01252","01140",
"MONTAGNAT","01254","01250",
"MONTAGNIEU","01255","01470",
"MONTANGES","01257","01200",
"MONTCEAUX","01258","01090",
"MONTCET","01259","01310",
"LE MONTELLIER","01260","01800",
"MONTHIEUX","01261","01390",
"MONTLUEL","01262","01120",
"MONTLUEL","01262","01120","CORDIEUX"
"MONTLUEL","01262","01120","JAILLEUX"
"MONTMERLE SUR SAONE","01263","01090",
"MONTRACOL","01264","01310",
"MONTREAL LA CLUSE","01265","01460",
"MONTREVEL EN BRESSE","01266","01340",
"NURIEUX VOLOGNAT","01267","01460",
"NURIEUX VOLOGNAT","01267","01460","VOLOGNAT"
"MURS ET GELIGNIEUX","01268","01300",
"NANTUA","01269","01130",
"NANTUA","01269","01460",
"NEUVILLE LES DAMES","01272","01400",
"NEUVILLE SUR AIN","01273","01160",
"LES NEYROLLES","01274","01130",
"NEYRON","01275","01700",
"NIEVROZ","01276","01120",
"NIVOLLET MONTGRIFFON","01277","01230",
"ONCIEU","01279","01230",
"ORDONNAZ","01280","01510",
"ORNEX","01281","01210",
"OUTRIAZ","01282","01430",
"OYONNAX","01283","01100",
"OYONNAX","01283","01100","BOUVENT"
"OYONNAX","01283","01100","VEYZIAT"
"OZAN","01284","01190",
"PARCIEUX","01285","01600",
"PARVES ET NATTAGES","01286","01300","NATTAGES"
"PARVES ET NATTAGES","01286","01300","PARVES"
"PERON","01288","01630",
"PERONNAS","01289","01960",
"PEROUGES","01290","01800",
"PERREX","01291","01540",
"PEYRIAT","01293","01430",
"PEYRIEU","01294","01300",
"PEYZIEUX SUR SAONE","01295","01140",
"PIRAJOUX","01296","01270",
"PIZAY","01297","01120",
"PLAGNE","01298","01130",
"LE PLANTAY","01299","01330",
"POLLIAT","01301","01310",
"POLLIEU","01302","01350",
"PONCIN","01303","01450",
"PONT D AIN","01304","01160",
"PONT DE VAUX","01305","01190",
"PONT DE VEYLE","01306","01290",
"PORT","01307","01460",
"POUGNY","01308","01550",
"POUILLAT","01309","01250",
"PREMEYZEL","01310","01300",
"PREMILLIEU","01311","01110",
"PREVESSIN MOENS","01313","01280",
"PREVESSIN MOENS","01313","01280","MOENS"
"PRIAY","01314","01160",
"RAMASSE","01317","01250",
"RANCE","01318","01390",
"RELEVANT","01319","01990",
"REPLONGES","01320","01750",
"REVONNAS","01321","01250",
"REYRIEUX","01322","01600",
"REYSSOUZE","01323","01190",
"RIGNIEUX LE FRANC","01325","01800",
"ROMANS","01328","01400",
"ROSSILLON","01329","01510",
